latitude,longitude,place_name,place_lat,place_lng
-36.856867,174.753659,Glengarry Wines - Victoria Park,-36.848921,174.7570255
-36.856867,174.753659,K-Rd Liquor Centre,-36.8574928,174.7577658
-36.856867,174.753659,Glengarry Wines - Ponsonby,-36.8551631,174.7464316
-36.856867,174.753659,Thirsty Liquor,-36.8528415,174.7588409
-36.856867,174.753659,Liquor.Com,-36.8555065,174.76280269999998
-36.856867,174.753659,City Liquor,-36.8547769,174.7587934
-36.856867,174.753659,Liquor Centre,-36.8512433,174.760415
-36.856867,174.753659,Thirsty Liquor Karangahape Road,-36.8586989,174.75507209999998
-36.856867,174.753659,Glengarry Wines,-36.85942,174.7463465
-36.856867,174.753659,Black Bull Liquor Queen Street,-36.8570525,174.7620292
-36.856867,174.753659,Caro's Wines,-36.8613086,174.74913719999998
-36.856867,174.753659,Bare Wine NZ,-36.8561209,174.7426147
-36.856867,174.753659,Cheers NZ Liquor K Road,-36.8577813,174.7570436
-36.856867,174.753659,Wine Beer & Spirits,-36.8487778,174.756634
-36.856867,174.753659,Kiwi Liquor,-36.858058199999995,174.76013899999998
-36.856867,174.753659,Everyday Wine,-36.8599636,174.7543063
-36.856867,174.753659,Liquor Centre Newton,-36.8630485,174.7609076
-36.856867,174.753659,Last Stop Liquor,-36.852831099999996,174.75873479999998
-36.856867,174.753659,Sky Liquor,-36.854779199999996,174.7587859
-36.908063,174.664361,Super Liquor New Lynn,-36.914557599999995,174.6713211
-36.908063,174.664361,Wine Villa Kelston,-36.909307399999996,174.6633421
-36.862578,174.868137,Maskell Street Liquor,-36.859170399999996,174.86132849999998
-36.85259,174.646309,Super Liquor Central Park,-36.8572451,174.6372444
-36.972905,174.892909,Liquor Legends New Zealand,-36.976967699999996,174.8975457
-36.972905,174.892909,Chapel Downs Discount Liquor,-36.976313399999995,174.8959462
-36.972905,174.892909,Liquor Baron (Otara),-36.9685074,174.885585
-36.972905,174.892909,Kk Liquor,-36.9685436,174.8856143
-36.972905,174.892909,Jaspreet Singh Baidwan,-36.9758022,174.8872724
-36.953118,174.840645,Super Liquor Mangere East,-36.9571669,174.8333874
-36.953118,174.840645,Liquorland Papatoetoe,-36.9553237,174.8507774
-36.953118,174.840645,The Bottle-O Mangere East,-36.958180899999995,174.83251339999998
-36.953118,174.840645,KK Liquor,-36.9462033,174.84590749999998
-36.953118,174.840645,Choice Liquor Mart,-36.9515771,174.83901939999998
-36.680156,174.459138,Super Liquor Helensville,-36.677917099999995,174.4498561
-36.680156,174.459138,Liquor Centre Helensville,-36.675758,174.450709
-36.861976,174.717535,Liquor Centre Point Chev - Great North Road,-36.8680936,174.7168691
-36.861976,174.717535,Glengarry Wines - Westmere,-36.854178399999995,174.71809
-36.861976,174.717535,The Liquor Store - Point Chevalier,-36.8695267,174.7136619
